Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_API,,,,2022-06-27 20:25:34,2022-06-27 20:26:15,40.535s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-06-27 20:25:35,2022-06-27 20:25:41,5.845s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC005_Register (With registered email)""))",,,,2022-06-27 20:25:35,2022-06-27 20:25:40,4.619s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:40,2022-06-27 20:25:40,0.124s,FAILED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-06-27 20:25:40,2022-06-27 20:25:41,0.261s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-06-27 20:25:41,2022-06-27 20:25:42,1.525s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC004_Register (With invalid email format)""))",,,,2022-06-27 20:25:41,2022-06-27 20:25:42,0.552s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:42,2022-06-27 20:25:42,0.012s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-06-27 20:25:42,2022-06-27 20:25:42,0.062s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-06-27 20:25:42,2022-06-27 20:25:44,1.418s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC003_Register (With invalid method)""))",,,,2022-06-27 20:25:43,2022-06-27 20:25:43,0.765s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:43,2022-06-27 20:25:43,0.013s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-06-27 20:25:43,2022-06-27 20:25:44,0.054s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-06-27 20:25:44,2022-06-27 20:25:45,0.988s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC002_Register (With empty body value)""))",,,,2022-06-27 20:25:44,2022-06-27 20:25:44,0.416s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:44,2022-06-27 20:25:44,0.007s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-27 20:25:44,2022-06-27 20:25:45,0.087s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-06-27 20:25:45,2022-06-27 20:25:47,2.155s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC001_Register (With valid body value)""))",,,,2022-06-27 20:25:45,2022-06-27 20:25:47,1.171s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-06-27 20:25:47,2022-06-27 20:25:47,0.036s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC006_Login (With invalid password),,,,2022-06-27 20:25:47,2022-06-27 20:25:48,1.417s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC006_Login (With invalid password)""))",,,,2022-06-27 20:25:47,2022-06-27 20:25:48,0.747s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:48,2022-06-27 20:25:48,0.013s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", password_doesnt_match)",,,,2022-06-27 20:25:48,2022-06-27 20:25:48,0.060s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC005_Login (With unregistered email),,,,2022-06-27 20:25:48,2022-06-27 20:25:50,1.524s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC005_Login (With unregistered email)""))",,,,2022-06-27 20:25:49,2022-06-27 20:25:50,0.670s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:25:50,2022-06-27 20:25:50,0.011s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", user_not_found)",,,,2022-06-27 20:25:50,2022-06-27 20:25:50,0.069s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC004_Login (With invalid email format),,,,2022-06-27 20:25:50,2022-06-27 20:25:51,1.291s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC004_Login (With invalid email format)""))",,,,2022-06-27 20:25:50,2022-06-27 20:25:51,0.640s,PASSED
"verifyResponseStatusCode(response, response_400, STOP_ON_FAILURE)",,,,2022-06-27 20:25:51,2022-06-27 20:25:51,0.013s,PASSED
"verifyElementPropertyValue(response, ""email"", invalid_email_format)",,,,2022-06-27 20:25:51,2022-06-27 20:25:51,0.060s,PASSED
,,,,,,,
