Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Mobile,,,,2022-07-03 13:48:30,2022-07-03 13:51:48,3m - 17.819s,FAILED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC002_Sign Up/Sign Up,,,,2022-07-03 13:48:31,2022-07-03 13:50:14,1m - 43.565s,PASSED
"startExistingApplication(id_mobile_apk, STOP_ON_FAILURE)",,,,2022-07-03 13:48:31,2022-07-03 13:48:51,19.408s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-03 13:48:51,2022-07-03 13:48:59,8.056s,PASSED
"tap(findTestObject(""03_Mobile/SC003_Sign Up/a_signup""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-03 13:48:59,2022-07-03 13:49:02,3.643s,PASSED
"for ([i = 1, i <= 8, (i++)])",,,,2022-07-03 13:49:02,2022-07-03 13:50:14,1m - 11.879s,PASSED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC003_Sign In/Sign In,,,,2022-07-03 13:50:14,2022-07-03 13:51:05,51.178s,FAILED
"startExistingApplication(id_mobile_apk, STOP_ON_FAILURE)",,,,2022-07-03 13:50:14,2022-07-03 13:50:25,10.460s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-03 13:50:25,2022-07-03 13:50:33,8.014s,PASSED
"for ([i = 1, i <= 5, (i++)])",,,,2022-07-03 13:50:33,2022-07-03 13:51:05,32.376s,FAILED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC004_Logout/TC001_Logout,,,,2022-07-03 13:51:05,2022-07-03 13:51:48,42.573s,FAILED
"startExistingApplication(id_mobile_apk, STOP_ON_FAILURE)",,,,2022-07-03 13:51:06,2022-07-03 13:51:16,10.187s,PASSED
"tap(findTestObject(""03_Mobile/SC004_Logout/setting_menu""), 0)",,,,2022-07-03 13:51:16,2022-07-03 13:51:48,32.041s,FAILED
