Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03_Class Material,,,,2022-07-02 20:30:23,2022-07-02 20:30:41,18.400s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token),,,,2022-07-02 20:30:23,2022-07-02 20:30:27,4.229s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token)""))",,,,2022-07-02 20:30:23,2022-07-02 20:30:27,3.557s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:30:27,2022-07-02 20:30:27,0.031s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-02 20:30:27,2022-07-02 20:30:27,0.095s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id),,,,2022-07-02 20:30:27,2022-07-02 20:30:29,1.405s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id)""))",,,,2022-07-02 20:30:28,2022-07-02 20:30:29,0.973s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:30:29,2022-07-02 20:30:29,0.010s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-02 20:30:29,2022-07-02 20:30:29,0.032s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC002_Create Class Material (With empty input),,,,2022-07-02 20:30:29,2022-07-02 20:30:30,1.442s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC002_Create Class Material (With empty input)""))",,,,2022-07-02 20:30:29,2022-07-02 20:30:30,1.065s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:30:30,2022-07-02 20:30:30,0.006s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-02 20:30:30,2022-07-02 20:30:30,0.036s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC001_Create Class Material (With valid input),,,,2022-07-02 20:30:30,2022-07-02 20:30:33,3.367s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC012_Get All Class by Page and Size/TC001_Get All Class by Page and Size""))",,,,2022-07-02 20:30:30,2022-07-02 20:30:33,2.977s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:30:33,2022-07-02 20:30:33,0.012s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 20:30:33,2022-07-02 20:30:33,0.035s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC014_Get Material By Id/TC003_Get Material By Id (With invalid token),,,,2022-07-02 20:30:33,2022-07-02 20:30:34,0.675s,PASSED
