Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03_Class Material,,,,2022-06-30 12:54:45,2022-06-30 12:55:07,22.217s,FAILED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token),,,,2022-06-30 12:54:45,2022-06-30 12:54:50,4.992s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token)""))",,,,2022-06-30 12:54:46,2022-06-30 12:54:50,4.094s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:50,2022-06-30 12:54:50,0.037s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-06-30 12:54:50,2022-06-30 12:54:50,0.150s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id),,,,2022-06-30 12:54:50,2022-06-30 12:54:52,1.660s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id)""))",,,,2022-06-30 12:54:51,2022-06-30 12:54:52,1.015s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:52,2022-06-30 12:54:52,0.032s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:54:52,2022-06-30 12:54:52,0.037s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC002_Create Class Material (With empty input),,,,2022-06-30 12:54:52,2022-06-30 12:54:53,1.655s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC002_Create Class Material (With empty input)""))",,,,2022-06-30 12:54:52,2022-06-30 12:54:53,1.027s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:53,2022-06-30 12:54:53,0.031s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:54:53,2022-06-30 12:54:53,0.053s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC001_Create Class Material (With valid input),,,,2022-06-30 12:54:53,2022-06-30 12:54:57,3.528s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC012_Get All Class by Page and Size/TC001_Get All Class by Page and Size""))",,,,2022-06-30 12:54:54,2022-06-30 12:54:57,3.009s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:57,2022-06-30 12:54:57,0.016s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 12:54:57,2022-06-30 12:54:57,0.054s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC014_Get All Material By Id/TC003_Get Material By Id (With invalid token),,,,2022-06-30 12:54:57,2022-06-30 12:54:58,1.042s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC014_Get Material By Id/TC003_Get Material By Id (With invalid token)""))",,,,2022-06-30 12:54:57,2022-06-30 12:54:58,0.469s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:58,2022-06-30 12:54:58,0.015s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-06-30 12:54:58,2022-06-30 12:54:58,0.074s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC014_Get All Material By Id/TC002_Get Material By Id (With invalid id),,,,2022-06-30 12:54:58,2022-06-30 12:55:00,1.517s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC014_Get Material By Id/TC002_Get Material By Id (With invalid id)""))",,,,2022-06-30 12:54:58,2022-06-30 12:54:59,0.996s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:54:59,2022-06-30 12:55:00,0.016s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:55:00,2022-06-30 12:55:00,0.065s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC014_Get All Material By Id/TC001_Get Material By Id,,,,2022-06-30 12:55:00,2022-06-30 12:55:01,1.890s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC014_Get Material By Id/TC001_Get Material By Id""))",,,,2022-06-30 12:55:00,2022-06-30 12:55:01,1.140s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:55:01,2022-06-30 12:55:01,0.016s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 12:55:01,2022-06-30 12:55:01,0.064s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC015_Get All Material By Class Id/TC003_Get All Material By Class Id (With invalid token),,,,2022-06-30 12:55:01,2022-06-30 12:55:03,1.809s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC015_Get All Material By Class Id/TC003_Get All Material By Class Id (With invalid token)""))",,,,2022-06-30 12:55:02,2022-06-30 12:55:03,1.237s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:55:03,2022-06-30 12:55:03,0.016s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-06-30 12:55:03,2022-06-30 12:55:03,0.063s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC015_Get All Material By Class Id/TC002_Get All Material By Class Id (With invalid id),,,,2022-06-30 12:55:03,2022-06-30 12:55:05,1.691s,FAILED
"response = sendRequest(findTestObject(""01_API/03_Material/SC015_Get All Material By Class Id/TC002_Get All Material By Class Id (With invalid id)""))",,,,2022-06-30 12:55:04,2022-06-30 12:55:05,0.922s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:55:05,2022-06-30 12:55:05,0.052s,FAILED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:55:05,2022-06-30 12:55:05,0.059s,FAILED
,,,,,,,
Test Cases/01_API/03_Class Material/SC015_Get All Material By Class Id/TC001_Get All Material By Class Id,,,,2022-06-30 12:55:05,2022-06-30 12:55:07,1.765s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC015_Get All Material By Class Id/TC001_Get All Material By Class Id""))",,,,2022-06-30 12:55:05,2022-06-30 12:55:07,1.229s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:55:07,2022-06-30 12:55:07,0.015s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 12:55:07,2022-06-30 12:55:07,0.047s,PASSED
