Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02_Class,,,,2022-06-30 15:07:31,2022-06-30 15:08:18,47.715s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC006_Get All Class/TC002_Get All Class (invalid token),,,,2022-06-30 15:07:31,2022-06-30 15:07:37,5.618s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC006_Get All Class/TC002_Get All Class (invalid token)""))",,,,2022-06-30 15:07:32,2022-06-30 15:07:37,4.624s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 15:07:37,2022-06-30 15:07:37,0.057s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-06-30 15:07:37,2022-06-30 15:07:37,0.146s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC006_Get All Class/TC001_Get All Class (With valid input),,,,2022-06-30 15:07:37,2022-06-30 15:07:42,5.145s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC006_Get All Class/TC001_Get All Class (With valid input)""))",,,,2022-06-30 15:07:38,2022-06-30 15:07:42,4.291s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 15:07:42,2022-06-30 15:07:42,0.024s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 15:07:42,2022-06-30 15:07:42,0.063s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC007_Create A Class/TC003_Create A Class (With invalid token),,,,2022-06-30 15:07:42,2022-06-30 15:07:43,1.263s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC007_Create A Class/TC003_Create A Class (With invalid token)""))",,,,2022-06-30 15:07:43,2022-06-30 15:07:43,0.643s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 15:07:43,2022-06-30 15:07:43,0.000s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-06-30 15:07:43,2022-06-30 15:07:43,0.047s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC007_Create A Class/TC002_Create A Class (With empty field),,,,2022-06-30 15:07:43,2022-06-30 15:07:45,1.315s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC007_Create A Class/TC002_Create A Class (With empty field)""))",,,,2022-06-30 15:07:44,2022-06-30 15:07:45,0.875s,PASSED
