Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_API,,,,2022-07-16 00:58:49,2022-07-16 01:02:00,3m - 11.807s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-07-16 00:58:49,2022-07-16 00:58:54,5.318s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC001_Register (With valid body value)""))",,,,2022-07-16 00:58:50,2022-07-16 00:58:54,4.513s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-07-16 00:58:54,2022-07-16 00:58:54,0.034s,PASSED
"verifyElementPropertyValue(response, ""data.email"", register_email)",,,,2022-07-16 00:58:54,2022-07-16 00:58:54,0.150s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-07-16 00:58:54,2022-07-16 00:58:56,1.779s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC002_Register (With empty body value)""))",,,,2022-07-16 00:58:55,2022-07-16 00:58:56,1.244s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:58:56,2022-07-16 00:58:56,0.026s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-16 00:58:56,2022-07-16 00:58:56,0.038s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-07-16 00:58:56,2022-07-16 00:58:58,2.149s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC003_Register (With invalid method)""))",,,,2022-07-16 00:58:57,2022-07-16 00:58:58,1.731s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:58:58,2022-07-16 00:58:58,0.005s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-16 00:58:58,2022-07-16 00:58:58,0.025s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-07-16 00:58:58,2022-07-16 00:58:59,1.087s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC004_Register (With invalid email format)""))",,,,2022-07-16 00:58:59,2022-07-16 00:58:59,0.624s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:58:59,2022-07-16 00:58:59,0.014s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-16 00:58:59,2022-07-16 00:58:59,0.040s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-07-16 00:58:59,2022-07-16 00:59:01,1.928s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC005_Register (With registered email)""))",,,,2022-07-16 00:59:00,2022-07-16 00:59:01,1.443s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:01,2022-07-16 00:59:01,0.019s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-16 00:59:01,2022-07-16 00:59:01,0.043s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC001_Login (With valid body value),,,,2022-07-16 00:59:01,2022-07-16 00:59:03,1.915s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC001_Login (With valid body value)""))",,,,2022-07-16 00:59:02,2022-07-16 00:59:03,1.497s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:03,2022-07-16 00:59:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-16 00:59:03,2022-07-16 00:59:03,0.040s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC002_Login (With empty body value),,,,2022-07-16 00:59:03,2022-07-16 00:59:04,0.918s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC002_Login (With empty body value)""))",,,,2022-07-16 00:59:04,2022-07-16 00:59:04,0.442s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:04,2022-07-16 00:59:04,0.013s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC003_Login (With invalid method),,,,2022-07-16 00:59:04,2022-07-16 00:59:05,1.052s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC003_Login (With invalid method)""))",,,,2022-07-16 00:59:05,2022-07-16 00:59:05,0.672s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:05,2022-07-16 00:59:05,0.020s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-16 00:59:05,2022-07-16 00:59:05,0.039s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC004_Login (With invalid email format),,,,2022-07-16 00:59:05,2022-07-16 00:59:06,0.767s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC004_Login (With invalid email format)""))",,,,2022-07-16 00:59:06,2022-07-16 00:59:06,0.401s,PASSED
"verifyResponseStatusCode(response, response_400, STOP_ON_FAILURE)",,,,2022-07-16 00:59:06,2022-07-16 00:59:06,0.003s,PASSED
"verifyElementPropertyValue(response, ""email"", invalid_email_format)",,,,2022-07-16 00:59:06,2022-07-16 00:59:06,0.040s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC005_Login (With unregistered email),,,,2022-07-16 00:59:06,2022-07-16 00:59:08,1.516s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC005_Login (With unregistered email)""))",,,,2022-07-16 00:59:06,2022-07-16 00:59:08,1.094s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:08,2022-07-16 00:59:08,0.004s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", user_not_found)",,,,2022-07-16 00:59:08,2022-07-16 00:59:08,0.031s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC006_Login (With invalid password),,,,2022-07-16 00:59:08,2022-07-16 00:59:10,2.042s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC006_Login (With invalid password)""))",,,,2022-07-16 00:59:08,2022-07-16 00:59:10,1.627s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 00:59:10,2022-07-16 00:59:10,0.009s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", password_doesnt_match)",,,,2022-07-16 00:59:10,2022-07-16 00:59:10,0.033s,PASSED
,,,,,,,
