Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_API,,,,2022-07-15 23:22:49,2022-07-15 23:26:05,3m - 15.578s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-07-15 23:22:49,2022-07-15 23:22:55,5.293s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC001_Register (With valid body value)""))",,,,2022-07-15 23:22:50,2022-07-15 23:22:55,4.470s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-07-15 23:22:55,2022-07-15 23:22:55,0.059s,PASSED
"verifyElementPropertyValue(response, ""data.email"", register_email)",,,,2022-07-15 23:22:55,2022-07-15 23:22:55,0.137s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-07-15 23:22:55,2022-07-15 23:22:56,1.011s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC002_Register (With empty body value)""))",,,,2022-07-15 23:22:55,2022-07-15 23:22:56,0.451s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:22:56,2022-07-15 23:22:56,0.023s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-15 23:22:56,2022-07-15 23:22:56,0.033s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-07-15 23:22:56,2022-07-15 23:22:57,1.241s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC003_Register (With invalid method)""))",,,,2022-07-15 23:22:56,2022-07-15 23:22:57,0.770s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:22:57,2022-07-15 23:22:57,0.008s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-15 23:22:57,2022-07-15 23:22:57,0.045s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-07-15 23:22:57,2022-07-15 23:22:58,0.972s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC004_Register (With invalid email format)""))",,,,2022-07-15 23:22:58,2022-07-15 23:22:58,0.460s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:22:58,2022-07-15 23:22:58,0.004s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-15 23:22:58,2022-07-15 23:22:58,0.041s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-07-15 23:22:58,2022-07-15 23:23:00,2.193s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC005_Register (With registered email)""))",,,,2022-07-15 23:22:59,2022-07-15 23:23:00,1.625s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:00,2022-07-15 23:23:00,0.021s,FAILED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-15 23:23:00,2022-07-15 23:23:00,0.042s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC001_Login (With valid body value),,,,2022-07-15 23:23:00,2022-07-15 23:23:02,1.827s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC001_Login (With valid body value)""))",,,,2022-07-15 23:23:01,2022-07-15 23:23:02,1.409s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:02,2022-07-15 23:23:02,0.007s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-15 23:23:02,2022-07-15 23:23:02,0.040s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC002_Login (With empty body value),,,,2022-07-15 23:23:02,2022-07-15 23:23:03,0.890s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC002_Login (With empty body value)""))",,,,2022-07-15 23:23:03,2022-07-15 23:23:03,0.452s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:03,2022-07-15 23:23:03,0.002s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC003_Login (With invalid method),,,,2022-07-15 23:23:03,2022-07-15 23:23:04,1.115s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC003_Login (With invalid method)""))",,,,2022-07-15 23:23:03,2022-07-15 23:23:04,0.725s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:04,2022-07-15 23:23:04,0.005s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-15 23:23:04,2022-07-15 23:23:04,0.032s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC004_Login (With invalid email format),,,,2022-07-15 23:23:04,2022-07-15 23:23:05,0.917s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC004_Login (With invalid email format)""))",,,,2022-07-15 23:23:05,2022-07-15 23:23:05,0.411s,PASSED
"verifyResponseStatusCode(response, response_400, STOP_ON_FAILURE)",,,,2022-07-15 23:23:05,2022-07-15 23:23:05,0.007s,PASSED
"verifyElementPropertyValue(response, ""email"", invalid_email_format)",,,,2022-07-15 23:23:05,2022-07-15 23:23:05,0.039s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC005_Login (With unregistered email),,,,2022-07-15 23:23:05,2022-07-15 23:23:08,2.887s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC005_Login (With unregistered email)""))",,,,2022-07-15 23:23:05,2022-07-15 23:23:08,2.505s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:08,2022-07-15 23:23:08,0.004s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", user_not_found)",,,,2022-07-15 23:23:08,2022-07-15 23:23:08,0.031s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC006_Login (With invalid password),,,,2022-07-15 23:23:08,2022-07-15 23:23:10,2.100s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC006_Login (With invalid password)""))",,,,2022-07-15 23:23:08,2022-07-15 23:23:10,1.574s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:10,2022-07-15 23:23:10,0.005s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", password_doesnt_match)",,,,2022-07-15 23:23:10,2022-07-15 23:23:10,0.035s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC001_Update User By Id (With valid input),,,,2022-07-15 23:23:10,2022-07-15 23:23:12,2.187s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC001_Update User By Id (With valid input)""))",,,,2022-07-15 23:23:10,2022-07-15 23:23:12,1.816s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:12,2022-07-15 23:23:12,0.003s,PASSED
"verifyElementPropertyValue(response, ""data.email"", new_email)",,,,2022-07-15 23:23:12,2022-07-15 23:23:12,0.020s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC002_Update User By Id (With empty body value),,,,2022-07-15 23:23:12,2022-07-15 23:23:17,4.518s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC002_Update User By Id (With empty body value)""))",,,,2022-07-15 23:23:13,2022-07-15 23:23:17,4.138s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:17,2022-07-15 23:23:17,0.005s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-15 23:23:17,2022-07-15 23:23:17,0.041s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC003_Update User By Id (With invalid method),,,,2022-07-15 23:23:17,2022-07-15 23:23:19,1.976s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC003_Update User By Id (With invalid method)""))",,,,2022-07-15 23:23:17,2022-07-15 23:23:19,1.559s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:19,2022-07-15 23:23:19,0.004s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-15 23:23:19,2022-07-15 23:23:19,0.027s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC004_Update User By Id (With invalid id),,,,2022-07-15 23:23:19,2022-07-15 23:23:21,2.004s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC004_Update User By Id (With invalid id)""))",,,,2022-07-15 23:23:19,2022-07-15 23:23:21,1.592s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:21,2022-07-15 23:23:21,0.007s,PASSED
"verifyElementPropertyValue(response, ""errors.message.message"", user_not_found)",,,,2022-07-15 23:23:21,2022-07-15 23:23:21,0.031s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC005_Update User By Id (With invalid email format),,,,2022-07-15 23:23:21,2022-07-15 23:23:23,1.955s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC005_Update User By Id (With invalid email format)""))",,,,2022-07-15 23:23:21,2022-07-15 23:23:23,1.608s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:23,2022-07-15 23:23:23,0.005s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-15 23:23:23,2022-07-15 23:23:23,0.023s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC006_Update User By Id (With registered email),,,,2022-07-15 23:23:23,2022-07-15 23:23:25,2.442s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC006_Update User By Id (With registered email)""))",,,,2022-07-15 23:23:23,2022-07-15 23:23:25,2.045s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:25,2022-07-15 23:23:25,0.006s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-15 23:23:25,2022-07-15 23:23:25,0.042s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC007_Update User By Id (With invalid token),,,,2022-07-15 23:23:25,2022-07-15 23:23:27,1.826s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TC007_Update User By Id (With invalid token)""))",,,,2022-07-15 23:23:26,2022-07-15 23:23:27,1.343s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:27,2022-07-15 23:23:27,0.005s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-15 23:23:27,2022-07-15 23:23:27,0.030s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC001_Get User By Id (With valid id and token),,,,2022-07-15 23:23:27,2022-07-15 23:23:29,1.879s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TC001_Get User By Id (With valid id and token)""))",,,,2022-07-15 23:23:27,2022-07-15 23:23:29,1.510s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:29,2022-07-15 23:23:29,0.004s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-15 23:23:29,2022-07-15 23:23:29,0.035s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC002_Get User By Id (Invalid id),,,,2022-07-15 23:23:29,2022-07-15 23:23:32,2.505s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TC002_Get User By Id (Invalid id)""))",,,,2022-07-15 23:23:29,2022-07-15 23:23:31,2.141s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-15 23:23:31,2022-07-15 23:23:31,0.006s,PASSED
"verifyElementPropertyValue(response, ""errors.message.message"", ""Data not found"")",,,,2022-07-15 23:23:31,2022-07-15 23:23:32,0.046s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC003_Get User By Id (Invalid token),,,,2022-07-15 23:23:32,2022-07-15 23:23:33,0.992s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TC003_Get User By Id (Invalid token)""))",,,,2022-07-15 23:23:32,2022-07-15 23:23:32,0.624s,PASSED
