Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_API,,,,2022-07-02 21:25:55,2022-07-02 21:28:04,2m - 9.347s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC012_Get All Class by Page and Size/TC002_Get All Class by Page and Size (With invalid token),,,,2022-07-02 21:25:55,2022-07-02 21:26:01,5.865s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC012_Get All Class by Page and Size/TC002_Get All Class by Page and Size (With invalid token)""))",,,,2022-07-02 21:25:56,2022-07-02 21:26:01,4.887s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 21:26:01,2022-07-02 21:26:01,0.060s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-02 21:26:01,2022-07-02 21:26:01,0.172s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC012_Get All Class by Page and Size/TC001_Get All Class by Page and Size,,,,2022-07-02 21:26:01,2022-07-02 21:26:04,3.310s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC012_Get All Class by Page and Size/TC001_Get All Class by Page and Size""))",,,,2022-07-02 21:26:02,2022-07-02 21:26:04,2.766s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 21:26:04,2022-07-02 21:26:04,0.047s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 21:26:04,2022-07-02 21:26:04,0.044s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC011_Join A Class/TC004_Join A Class (With invalid token),,,,2022-07-02 21:26:04,2022-07-02 21:26:06,1.057s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC011_Join A Class/TC004_Join A Class (With invalid token)""))",,,,2022-07-02 21:26:05,2022-07-02 21:26:05,0.491s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 21:26:05,2022-07-02 21:26:05,0.015s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-02 21:26:05,2022-07-02 21:26:06,0.064s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC011_Join A Class/TC003_Join A Class (With invalid user id),,,,2022-07-02 21:26:06,2022-07-02 21:26:08,2.191s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC011_Join A Class/TC003_Join A Class (With invalid user id)""))",,,,2022-07-02 21:26:06,2022-07-02 21:26:08,1.408s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 21:26:08,2022-07-02 21:26:08,0.016s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""User not found"")",,,,2022-07-02 21:26:08,2022-07-02 21:26:08,0.062s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC011_Join A Class/TC002_Join A Class (With invalid class code),,,,2022-07-02 21:26:08,2022-07-02 21:26:09,1.722s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC011_Join A Class/TC002_Join A Class (With invalid class code)""))",,,,2022-07-02 21:26:08,2022-07-02 21:26:09,1.173s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 21:26:09,2022-07-02 21:26:09,0.016s,PASSED
