Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_API,,,,2022-06-27 19:39:09,2022-06-27 19:39:47,38.433s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-06-27 19:39:09,2022-06-27 19:39:15,5.964s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC001_Register (With valid body value)""))",,,,2022-06-27 19:39:11,2022-06-27 19:39:15,4.711s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-06-27 19:39:15,2022-06-27 19:39:15,0.148s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-06-27 19:39:16,2022-06-27 19:39:17,1.711s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC002_Register (With empty body value)""))",,,,2022-06-27 19:39:16,2022-06-27 19:39:17,0.777s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 19:39:17,2022-06-27 19:39:17,0.038s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-27 19:39:17,2022-06-27 19:39:17,0.161s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-06-27 19:39:17,2022-06-27 19:39:19,1.545s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC003_Register (With invalid method)""))",,,,2022-06-27 19:39:18,2022-06-27 19:39:19,0.768s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-06-27 19:39:19,2022-06-27 19:39:19,0.023s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-06-27 19:39:19,2022-06-27 19:39:19,0.085s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-06-27 19:39:19,2022-06-27 19:39:20,1.110s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC004_Register (With invalid email format)""))",,,,2022-06-27 19:39:19,2022-06-27 19:39:20,0.568s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 19:39:20,2022-06-27 19:39:20,0.005s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-06-27 19:39:20,2022-06-27 19:39:20,0.053s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-06-27 19:39:20,2022-06-27 19:39:22,1.551s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC005_Register (With registered email)""))",,,,2022-06-27 19:39:21,2022-06-27 19:39:21,0.753s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-06-27 19:39:21,2022-06-27 19:39:21,0.009s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-06-27 19:39:21,2022-06-27 19:39:21,0.061s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC001_Login (With valid body value),,,,2022-06-27 19:39:22,2022-06-27 19:39:23,1.385s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC001_Login (With valid body value)""))",,,,2022-06-27 19:39:22,2022-06-27 19:39:23,0.752s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-27 19:39:23,2022-06-27 19:39:23,0.022s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-27 19:39:23,2022-06-27 19:39:23,0.058s,PASSED
,,,,,,,
